stratum,round_id,coder_id,newcomer
6.0,16887,23014542,0
6.0,16704,23014542,0
6.0,16887,23100980,0
6.0,16702,23100980,0
6.0,16704,23100980,0
6.0,16887,23122212,0
6.0,16702,23122212,0
6.0,16704,23122212,0
6.0,16887,23193535,0
6.0,16704,23193535,0
6.0,16887,23285989,0
6.0,16702,23285989,0
6.0,16704,23285989,0
6.0,16887,40007407,0
6.0,16702,40007407,0
6.0,16887,40382260,0
6.0,16702,40382260,0
7.0,13872,7213681,0
7.0,15154,7213681,0
7.0,17020,7213681,0
7.0,13872,10597114,0
7.0,14275,10597114,0
7.0,15154,10597114,0
7.0,17020,10597114,0
7.0,13872,11789293,0
7.0,14275,11789293,0
7.0,15154,11789293,0
7.0,17020,11789293,0
7.0,14275,19849563,0
7.0,15154,19849563,0
7.0,14275,22653720,0
7.0,15154,22653720,0
7.0,17020,22653720,0
7.0,14275,22682274,0
7.0,15154,22682274,0
7.0,17020,22682274,0
7.0,14275,22689544,0
7.0,15154,22689544,0
8.0,14264,20337184,0
8.0,15137,20337184,0
8.0,13897,21990198,0
8.0,15137,21990198,0
8.0,13897,22677203,0
8.0,15137,22677203,0
8.0,13897,22697599,0
8.0,14264,22697599,0
8.0,15137,22697599,0
8.0,14264,22703486,0
8.0,15137,22703486,0
8.0,13897,22713690,0
8.0,15137,22713690,0
8.0,14264,22721513,0
8.0,15137,22721513,0
8.0,14264,22741614,0
8.0,15137,22741614,0
8.0,14264,22846762,0
8.0,15137,22846762,0
9.0,13964,153555,0
9.0,14672,153555,0
9.0,13964,7213681,0
9.0,14412,7213681,0
9.0,14672,7213681,0
9.0,13964,7461533,0
9.0,14412,7461533,0
9.0,14672,7461533,0
9.0,13964,14883513,0
9.0,14412,14883513,0
9.0,13964,15781032,0
9.0,14412,15781032,0
9.0,14672,15781032,0
9.0,13964,15795618,0
9.0,14412,15795618,0
9.0,13964,20994662,0
9.0,14412,20994662,0
9.0,14672,20994662,0
9.0,13964,21972336,0
9.0,14412,21972336,0
9.0,13964,21990198,0
9.0,14412,21990198,0
9.0,14672,21990198,0
9.0,13964,22000198,0
9.0,14672,22000198,0
9.0,13964,22020968,0
9.0,14672,22020968,0
9.0,13964,22656472,0
9.0,14412,22656472,0
9.0,14672,22656472,0
9.0,13964,22659422,0
9.0,14412,22659422,0
9.0,13964,22662340,0
9.0,14672,22662340,0
9.0,13964,22663371,0
9.0,14412,22663371,0
9.0,13964,22685656,0
9.0,14412,22685656,0
9.0,13964,22696357,0
9.0,14412,22696357,0
9.0,13964,22703486,0
9.0,14412,22703486,0
9.0,13964,22706183,0
9.0,14412,22706183,0
9.0,13964,22718258,0
9.0,14412,22718258,0
9.0,13964,22736320,0
9.0,14412,22736320,0
9.0,13964,22736823,0
9.0,14412,22736823,0
9.0,14672,22736823,0
9.0,13964,22744390,0
9.0,14412,22744390,0
9.0,13964,22744421,0
9.0,14412,22744421,0
9.0,14672,22744421,0
9.0,13964,22751549,0
9.0,14412,22751549,0
9.0,14672,22751549,0
9.0,13964,22754542,0
9.0,14412,22754542,0
9.0,13964,22765808,0
9.0,14412,22765808,0
9.0,13964,22771489,0
9.0,14672,22771489,0
9.0,13964,22777893,0
9.0,14412,22777893,0
9.0,13964,22826277,0
9.0,14412,22826277,0
9.0,14672,22826277,0
9.0,13964,22827377,0
9.0,14412,22827377,0
9.0,14672,22827377,0
9.0,13964,22827870,0
9.0,14412,22827870,0
9.0,13964,22827914,0
9.0,14412,22827914,0
9.0,13964,22828354,0
9.0,14412,22828354,0
9.0,14672,22828354,0
9.0,13964,22830065,0
9.0,14412,22830065,0
9.0,14672,22830065,0
10.0,16494,7213681,0
10.0,16495,7213681,0
10.0,16857,7213681,0
10.0,16903,7213681,0
10.0,15570,7213681,0
10.0,16494,13274356,0
10.0,16495,13274356,0
10.0,16857,13274356,0
10.0,15570,13274356,0
10.0,16903,15781032,0
10.0,15570,15781032,0
10.0,16903,15896190,0
10.0,15570,15896190,0
10.0,16903,20994662,0
10.0,15570,20994662,0
10.0,16494,21688563,0
10.0,16495,21688563,0
10.0,15570,21688563,0
10.0,16857,21971539,0
10.0,15570,21971539,0
10.0,16857,22662340,0
10.0,15570,22662340,0
10.0,16494,22704094,0
10.0,16495,22704094,0
10.0,16857,22704094,0
10.0,16903,22704094,0
10.0,15570,22704094,0
10.0,16903,22727735,0
10.0,15570,22727735,0
10.0,16494,22729239,0
10.0,16495,22729239,0
10.0,16857,22729239,0
10.0,16903,22729239,0
10.0,15570,22729239,0
10.0,16903,22744169,0
10.0,15570,22744169,0
10.0,16495,22744421,0
10.0,16903,22744421,0
10.0,15570,22744421,0
10.0,16494,22774534,0
10.0,15570,22774534,0
10.0,16495,22832482,0
